Segment,PropReg,PropWeek,PropBase,Distance,Winner,Margin
92-LAK-TRE,"(0.02654867256637168, 'Weekday')","(0.04424778761061947, 'Regular')","(0.09734513274336283, 'Baseline')",23,Baseline,0.05309734513274336
92-LAK-WPK,"(0.45901639344262296, 'Baseline')","(0.5573770491803278, 'Weekday')","(0.6639344262295082, 'Regular')",3,Regular,0.10655737704918034
92-LKL-PAK,"(0.23140495867768596, 'Weekday')","(0.2644628099173554, 'Baseline')","(0.32231404958677684, 'Regular')",7,Regular,0.05785123966942146
92-LKL-SAV,"(0.10655737704918032, 'Regular')","(0.1557377049180328, 'Weekday')","(0.23770491803278687, 'Baseline')",9,Baseline,0.08196721311475408
92-LKL-TPA,"(0.36065573770491804, 'Baseline')","(0.5327868852459017, 'Weekday')","(0.6311475409836066, 'Regular')",1,Regular,0.09836065573770492
92-LKL-WIL,"(0.017699115044247787, 'Weekday')","(0.035398230088495575, 'Regular')","(0.09734513274336283, 'Baseline')",23,Baseline,0.061946902654867256
92-MIA-CLB,"(0.06611570247933884, 'Regular')","(0.08264462809917356, 'Weekday')","(0.21487603305785125, 'Baseline')",20,Baseline,0.1322314049586777
92-MIA-DLD,"(0.12295081967213115, 'Regular')","(0.1557377049180328, 'Weekday')","(0.4098360655737705, 'Baseline')",15,Baseline,0.2540983606557377
92-MIA-KIS,"(0.10655737704918032, 'Regular')","(0.1721311475409836, 'Weekday')","(0.23770491803278687, 'Baseline')",12,Baseline,0.06557377049180327
92-MIA-LAK,"(0.13114754098360656, 'Regular')","(0.1557377049180328, 'Weekday')","(0.36065573770491804, 'Baseline')",11,Baseline,0.20491803278688525
92-MIA-NYP,"(0.024793388429752067, 'Regular')","(0.049586776859504134, 'Weekday')","(0.1487603305785124, 'Baseline')",36,Baseline,0.09917355371900827
92-MIA-OKE,"(0.2809917355371901, 'Regular')","(0.4462809917355372, 'Weekday')","(0.6363636363636364, 'Baseline')",6,Baseline,0.19008264462809915
92-MIA-ORL,"(0.09016393442622951, 'Regular')","(0.19672131147540983, 'Weekday')","(0.3114754098360656, 'Baseline')",13,Baseline,0.11475409836065575
92-MIA-PAK,"(0.11570247933884298, 'Regular')","(0.1487603305785124, 'Weekday')","(0.36363636363636365, 'Baseline')",16,Baseline,0.21487603305785125
92-MIA-RMT,"(0.040983606557377046, 'Weekday')","(0.08196721311475409, 'Regular')","(0.21311475409836064, 'Baseline')",26,Baseline,0.13114754098360654
92-MIA-SAV,"(0.08196721311475409, 'Regular')","(0.08196721311475409, 'Weekday')","(0.29508196721311475, 'Baseline')",18,Baseline,0.21311475409836067
92-MIA-SBG,"(0.1885245901639344, 'Regular')","(0.19672131147540983, 'Baseline')","(0.26229508196721313, 'Weekday')",7,Weekday,0.0655737704918033
92-MIA-SOP,"(0.05785123966942149, 'Weekday')","(0.06611570247933884, 'Regular')","(0.12396694214876033, 'Baseline')",23,Baseline,0.05785123966942149
92-MIA-TRE,"(0.035398230088495575, 'Regular')","(0.05309734513274336, 'Weekday')","(0.10619469026548672, 'Baseline')",34,Baseline,0.05309734513274336
92-MIA-WPK,"(0.10655737704918032, 'Regular')","(0.1721311475409836, 'Weekday')","(0.5491803278688525, 'Baseline')",14,Baseline,0.37704918032786894
92-OKE-ALX,"(0.024793388429752067, 'Weekday')","(0.04132231404958678, 'Regular')","(0.09917355371900827, 'Baseline')",23,Baseline,0.05785123966942149
92-OKE-CAM,"(0.06666666666666667, 'Regular')","(0.10833333333333334, 'Weekday')","(0.20833333333333334, 'Baseline')",15,Baseline,0.1
92-OKE-CLB,"(0.08264462809917356, 'Regular')","(0.11570247933884298, 'Weekday')","(0.24793388429752067, 'Baseline')",14,Baseline,0.1322314049586777
92-OKE-DLD,"(0.17355371900826447, 'Regular')","(0.2727272727272727, 'Weekday')","(0.45454545454545453, 'Baseline')",9,Baseline,0.18181818181818182
92-OKE-JAX,"(0.07563025210084033, 'Baseline')","(0.09243697478991597, 'Regular')","(0.17647058823529413, 'Weekday')",11,Weekday,0.08403361344537816
92-OKE-KIS,"(0.1652892561983471, 'Regular')","(0.1652892561983471, 'Weekday')","(0.32231404958677684, 'Baseline')",6,Baseline,0.15702479338842973
92-OKE-LAK,"(0.18181818181818182, 'Regular')","(0.2396694214876033, 'Weekday')","(0.4214876033057851, 'Baseline')",5,Baseline,0.1818181818181818
92-OKE-LKL,"(0.2644628099173554, 'Weekday')","(0.2644628099173554, 'Baseline')","(0.34710743801652894, 'Regular')",3,Regular,0.08264462809917356
92-OKE-ORL,"(0.17355371900826447, 'Weekday')","(0.19008264462809918, 'Regular')","(0.2975206611570248, 'Baseline')",7,Baseline,0.10743801652892562
92-OKE-PAK,"(0.18333333333333332, 'Regular')","(0.21666666666666667, 'Weekday')","(0.4, 'Baseline')",10,Baseline,0.18333333333333335
92-OKE-PTB,"(0.03305785123966942, 'Regular')","(0.05785123966942149, 'Weekday')","(0.1652892561983471, 'Baseline')",21,Baseline,0.10743801652892562
92-OKE-RMT,"(0.049586776859504134, 'Weekday')","(0.06611570247933884, 'Regular')","(0.2396694214876033, 'Baseline')",20,Baseline,0.17355371900826447
92-OKE-SAV,"(0.0743801652892562, 'Regular')","(0.12396694214876033, 'Weekday')","(0.3305785123966942, 'Baseline')",12,Baseline,0.2066115702479339
92-OKE-SOP,"(0.08264462809917356, 'Regular')","(0.09090909090909091, 'Weekday')","(0.1487603305785124, 'Baseline')",17,Baseline,0.05785123966942149
92-OKE-WIL,"(0.044642857142857144, 'Regular')","(0.0625, 'Weekday')","(0.125, 'Baseline')",26,Baseline,0.0625
92-OKE-WPK,"(0.1322314049586777, 'Regular')","(0.2975206611570248, 'Weekday')","(0.49586776859504134, 'Baseline')",8,Baseline,0.19834710743801653
92-OKE-WTH,"(0.256198347107438, 'Weekday')","(0.2727272727272727, 'Regular')","(0.371900826446281, 'Baseline')",2,Baseline,0.09917355371900827
92-ORL-DLD,"(0.47540983606557374, 'Baseline')","(0.5573770491803278, 'Weekday')","(0.639344262295082, 'Regular')",2,Regular,0.08196721311475419
92-ORL-RGH,"(0.06557377049180328, 'Regular')","(0.08196721311475409, 'Weekday')","(0.13934426229508196, 'Baseline')",12,Baseline,0.05737704918032786
92-ORL-RMT,"(0.06557377049180328, 'Regular')","(0.07377049180327869, 'Weekday')","(0.16393442622950818, 'Baseline')",13,Baseline,0.0901639344262295
92-ORL-RVR,"(0.04918032786885246, 'Weekday')","(0.09836065573770492, 'Regular')","(0.21311475409836064, 'Baseline')",15,Baseline,0.11475409836065573
92-ORL-SAV,"(0.09016393442622951, 'Regular')","(0.12295081967213115, 'Weekday')","(0.27049180327868855, 'Baseline')",5,Baseline,0.1475409836065574
92-ORL-WAS,"(0.042735042735042736, 'Regular')","(0.042735042735042736, 'Baseline')","(0.09401709401709402, 'Weekday')",17,Weekday,0.05128205128205128
92-PAK-CLB,"(0.10833333333333334, 'Regular')","(0.13333333333333333, 'Weekday')","(0.26666666666666666, 'Baseline')",4,Baseline,0.13333333333333333
92-PAK-CYN,"(0.04132231404958678, 'Regular')","(0.10743801652892562, 'Weekday')","(0.1652892561983471, 'Baseline')",8,Baseline,0.05785123966942149
92-PAK-DNK,"(0.08264462809917356, 'Regular')","(0.1487603305785124, 'Weekday')","(0.2231404958677686, 'Baseline')",3,Baseline,0.0743801652892562
92-PAK-JAX,"(0.041666666666666664, 'Baseline')","(0.30833333333333335, 'Regular')","(0.49166666666666664, 'Weekday')",1,Weekday,0.1833333333333333
92-PAK-PTB,"(0.049586776859504134, 'Regular')","(0.0743801652892562, 'Weekday')","(0.1487603305785124, 'Baseline')",11,Baseline,0.0743801652892562
92-PAK-RGH,"(0.04132231404958678, 'Regular')","(0.08264462809917356, 'Weekday')","(0.14049586776859505, 'Baseline')",9,Baseline,0.05785123966942149
