1-NOL-LCH,10,9,0,72
1-NOL-LDB,3,2,8,72
1-NOL-LFT,19,18,0,73
1-NOL-MRC,4,0,6,72
1-NOL-NIB,20,11,0,73
1-NOL-ONA,3,1,5,69
1-NOL-POS,2,0,7,64
1-NOL-PSN,3,4,5,71
1-NOL-SAS,5,3,3,70
1-NOL-SCH,22,15,0,73
1-NOL-SND,2,2,5,72
1-NOL-TUS,2,3,0,72
1-NOL-YUM,2,4,3,72
1-ONA-LAX,32,37,1,74
1-ONA-POS,54,53,64,67
1-POS-LAX,47,42,1,69
1-PSN-LAX,16,15,1,76
1-PSN-ONA,20,21,6,74
1-PSN-POS,14,13,6,69
1-SAS-ALP,3,2,5,70
1-SAS-BEN,2,1,1,59
1-SAS-DEM,3,2,3,61
1-SAS-DRT,4,8,3,71
1-SAS-ELP,4,1,3,71
1-SAS-LAX,0,0,6,70
1-SAS-LDB,4,5,4,71
1-SAS-MRC,1,2,1,71
1-SAS-ONA,1,2,0,67
1-SAS-POS,2,3,1,62
1-SAS-PSN,1,1,2,70
1-SAS-SND,2,6,0,71
1-SAS-TUS,3,3,2,71
1-SAS-YUM,2,1,1,71
1-SCH-ALP,5,2,6,72
1-SCH-BEN,4,1,3,61
1-SCH-BMT,11,7,4,73
1-SCH-DEM,3,1,1,62
1-SCH-DRT,3,2,2,72
1-SCH-ELP,2,1,1,72
1-SCH-HOS,11,8,4,73
1-SCH-LAX,2,2,2,71
1-SCH-LCH,14,13,10,72
1-SCH-LDB,1,2,2,72
1-SCH-LFT,26,26,28,73
1-SCH-MRC,2,3,3,72
1-SCH-NIB,30,27,28,73
1-SCH-ONA,5,2,2,69
1-SCH-POS,2,0,4,64
1-SCH-PSN,4,3,2,71
1-SCH-SAS,6,6,5,70
1-SCH-SND,2,2,3,72
1-SCH-TUS,0,4,2,72
1-SCH-YUM,1,1,5,72
1-SND-ALP,16,19,6,78
1-SND-BEN,5,5,7,67
1-SND-DEM,7,4,6,67
1-SND-ELP,12,4,8,78
1-SND-LAX,2,7,2,77
1-SND-LDB,4,3,9,78
1-SND-MRC,4,4,4,78
1-SND-ONA,3,8,4,75
1-SND-POS,2,5,3,70
1-SND-PSN,2,6,7,77
1-SND-TUS,5,5,4,78
1-SND-YUM,3,5,11,78
1-TUS-LAX,5,10,2,77
1-TUS-MRC,10,15,15,78
1-TUS-ONA,8,4,10,75
1-TUS-POS,6,3,10,70
1-TUS-PSN,8,7,13,77
1-TUS-YUM,10,11,15,78
1-YUM-LAX,19,18,1,77
1-YUM-ONA,17,18,11,74
1-YUM-POS,9,12,5,69
1-YUM-PSN,40,42,35,77
11-ALY-BUR,22,22,7,147
11-ALY-CIC,18,17,26,160
11-ALY-CMO,39,44,49,160
11-ALY-DAV,16,41,45,160
11-ALY-DUN,24,25,42,160
11-ALY-EMY,18,28,37,160
11-ALY-EUG,104,108,27,159
11-ALY-KFS,36,40,22,160
11-ALY-LAX,27,32,0,155
11-ALY-MTZ,22,33,25,160
11-ALY-OKJ,15,25,11,158
11-ALY-OXN,15,32,22,155
11-ALY-PRB,16,23,35,156
11-ALY-RDD,26,23,41,160
11-ALY-SAC,17,16,3,160
11-ALY-SBA,20,30,18,156
11-ALY-SIM,4,26,7,149
11-ALY-SJC,20,23,12,157
11-ALY-SLO,18,22,5,157
11-ALY-SNS,13,35,41,157
11-ALY-VNC,29,38,5,155
11-BUR-LAX,137,135,12,147
11-CIC-BUR,25,31,4,148
11-CIC-DAV,38,38,45,160
11-CIC-EMY,41,47,37,160
11-CIC-LAX,30,35,5,155
11-CIC-MTZ,43,40,19,160
11-CIC-OKJ,43,35,13,158
11-CIC-OXN,34,37,18,155
11-CIC-PRB,44,39,39,156
11-CIC-SAC,41,55,1,160
11-CIC-SBA,23,30,14,157
11-CIC-SIM,38,32,6,149
11-CIC-SJC,39,41,12,157
11-CIC-SLO,39,27,3,157
11-CIC-SNS,45,45,38,157
11-CIC-VNC,23,33,3,156
11-CMO-BUR,25,25,2,148
11-CMO-CIC,31,22,30,160
11-CMO-DAV,32,36,24,160
11-CMO-DUN,43,35,34,160
11-CMO-EMY,26,23,27,160
11-CMO-KFS,85,77,6,160
11-CMO-LAX,33,35,1,155
11-CMO-MTZ,28,23,16,160
11-CMO-OKJ,23,28,13,158
11-CMO-OXN,36,44,15,155
11-CMO-PRB,37,38,25,156
11-CMO-RDD,38,37,35,160
11-CMO-SAC,21,18,1,160
11-CMO-SBA,20,28,20,157
11-CMO-SIM,34,35,4,149
11-CMO-SJC,36,35,7,157
11-CMO-SLO,30,24,6,157
11-CMO-SNS,38,46,26,157
11-CMO-VNC,31,34,3,156
11-CTL-ALY,46,40,54,159
11-CTL-BUR,32,25,5,147
11-CTL-CIC,21,27,35,159
11-CTL-CMO,34,31,19,159
11-CTL-DAV,14,19,85,159
11-CTL-DUN,18,26,50,159
11-CTL-EMY,19,20,75,159
11-CTL-EUG,36,40,44,158
11-CTL-KEL,141,128,129,159
11-CTL-KFS,33,32,25,159
11-CTL-LAX,25,30,7,154
11-CTL-MTZ,18,14,59,159
11-CTL-OKJ,14,19,26,157
11-CTL-OXN,16,32,52,154
11-CTL-PDX,68,77,7,159
11-CTL-PRB,9,17,83,155
11-CTL-RDD,18,18,44,159
11-CTL-SAC,21,18,3,159
11-CTL-SBA,22,28,43,156
11-CTL-SIM,7,28,5,149
11-CTL-SJC,18,19,17,156
11-CTL-SLM,50,47,59,158
11-CTL-SLO,14,15,8,156
11-CTL-SNS,11,15,93,156
11-CTL-VAN,111,92,101,157
11-CTL-VNC,40,36,4,155
11-DAV-BUR,40,42,7,148
11-DAV-EMY,105,95,105,160
11-DAV-LAX,29,35,7,155
11-DAV-MTZ,134,118,88,160
11-DAV-OKJ,81,79,33,158
11-DAV-OXN,50,53,51,155
11-DAV-PRB,85,65,87,156
11-DAV-SBA,34,32,35,157
11-DAV-SIM,51,51,5,149
11-DAV-SJC,44,50,26,157
11-DAV-SLO,52,44,7,157
11-DAV-SNS,96,88,95,157
11-DAV-VNC,31,42,4,156
11-DUN-BUR,25,25,3,147
11-DUN-CIC,34,40,62,160
11-DUN-DAV,65,57,53,160
11-DUN-EMY,45,43,38,160
11-DUN-LAX,26,33,3,154
11-DUN-MTZ,51,46,30,160
11-DUN-OKJ,43,44,19,158
11-DUN-OXN,38,30,28,154
11-DUN-PRB,40,45,45,155
11-DUN-RDD,84,80,103,159
11-DUN-SAC,32,30,0,160
11-DUN-SBA,23,25,20,156
11-DUN-SIM,37,35,3,149
11-DUN-SJC,23,35,18,156
11-DUN-SLO,21,35,3,156
11-DUN-SNS,47,50,47,156
11-DUN-VNC,32,28,4,155
11-EMY-BUR,34,43,5,148
11-EMY-LAX,28,37,5,155
11-EMY-OKJ,104,103,32,158
11-EMY-OXN,44,55,36,155
11-EMY-PRB,64,59,67,156
11-EMY-SBA,45,28,37,157
11-EMY-SIM,43,46,4,149
11-EMY-SJC,60,49,20,157
11-EMY-SLO,49,38,7,157
11-EMY-SNS,64,70,79,157
11-EMY-VNC,28,46,4,156
11-EUG-BUR,26,15,10,146
11-EUG-CIC,27,24,30,159
11-EUG-CMO,52,51,21,159
11-EUG-DAV,9,33,32,159
11-EUG-DUN,28,29,34,158
11-EUG-EMY,21,20,33,159
11-EUG-KFS,47,45,33,159
11-EUG-LAX,28,27,5,153
11-EUG-MTZ,17,19,32,159
11-EUG-OKJ,16,24,38,157
11-EUG-OXN,22,26,21,153
11-EUG-PRB,25,28,34,154
11-EUG-RDD,30,28,26,158
11-EUG-SAC,18,27,8,159
11-EUG-SBA,11,26,23,155
11-EUG-SIM,8,25,16,148
11-EUG-SJC,33,24,32,155
11-EUG-SLO,21,20,12,155
11-EUG-SNS,31,30,32,155
11-EUG-VNC,30,28,8,154
11-KEL-ALY,45,34,60,159
11-KEL-BUR,31,24,5,147
11-KEL-CIC,20,17,37,159
11-KEL-CMO,31,31,25,159
11-KEL-DAV,14,22,75,159
11-KEL-DUN,23,24,46,159
11-KEL-EMY,20,18,64,159
11-KEL-EUG,41,37,40,158
11-KEL-KFS,34,29,22,159
11-KEL-LAX,27,29,3,154
11-KEL-MTZ,19,17,48,159
11-KEL-OKJ,13,21,24,157
11-KEL-OXN,29,31,37,154
11-KEL-PDX,104,96,4,159
11-KEL-PRB,12,18,69,155
11-KEL-RDD,16,21,43,159
11-KEL-SAC,16,14,4,159
11-KEL-SBA,18,31,26,156
11-KEL-SIM,7,25,6,149
11-KEL-SJC,14,22,16,156
11-KEL-SLM,47,41,70,158
11-KEL-SLO,14,14,4,156
11-KEL-SNS,12,20,75,156
11-KEL-VAN,127,122,134,157
11-KEL-VNC,43,29,4,155
11-KFS-BUR,29,23,15,148
11-KFS-CIC,29,25,17,160
11-KFS-DAV,30,33,19,160
11-KFS-DUN,43,40,35,160
11-KFS-EMY,24,26,18,160
11-KFS-LAX,28,31,10,155
11-KFS-MTZ,26,18,26,160
11-KFS-OKJ,24,24,26,158
11-KFS-OXN,35,39,32,155
11-KFS-PRB,32,29,27,156
11-KFS-RDD,43,34,26,160
11-KFS-SAC,22,20,5,160
11-KFS-SBA,23,24,23,157
11-KFS-SIM,22,29,24,149
11-KFS-SJC,31,31,28,157
11-KFS-SLO,28,25,19,157
11-KFS-SNS,43,47,30,157
11-KFS-VNC,29,35,18,156
11-MTZ-BUR,33,40,6,148
11-MTZ-EMY,134,130,104,160
11-MTZ-LAX,31,32,7,155
11-MTZ-OKJ,101,105,86,158
11-MTZ-OXN,47,49,46,155
11-MTZ-PRB,74,67,58,156
11-MTZ-SBA,40,30,39,157
11-MTZ-SIM,47,50,8,149
11-MTZ-SJC,69,63,27,157
11-MTZ-SLO,55,42,12,157
11-MTZ-SNS,81,77,66,157
11-MTZ-VNC,28,42,4,156
11-OKJ-BUR,31,40,9,148
11-OKJ-LAX,27,34,4,155
11-OKJ-OXN,46,50,40,155
11-OKJ-PRB,76,72,27,156
11-OKJ-SBA,39,37,42,157
11-OKJ-SIM,48,49,7,149
11-OKJ-SJC,78,69,27,157
11-OKJ-SLO,57,45,11,157
11-OKJ-SNS,84,70,35,157
11-OKJ-VNC,24,44,9,156
11-OLW-ALY,49,38,52,158
11-OLW-BUR,30,30,4,146
11-OLW-CIC,17,21,39,159
11-OLW-CMO,33,31,20,159
11-OLW-CTL,152,149,152,159
11-OLW-DAV,12,20,84,159
11-OLW-DUN,16,21,57,159
11-OLW-EMY,17,14,71,159
11-OLW-EUG,38,36,48,158
11-OLW-KEL,125,120,117,159
11-OLW-KFS,31,32,27,159
11-OLW-LAX,24,28,7,154
11-OLW-MTZ,13,20,60,159
11-OLW-OKJ,13,12,26,157
11-OLW-OXN,26,37,59,154
11-OLW-PDX,69,74,12,159
11-OLW-PRB,9,26,83,155
11-OLW-RDD,14,20,47,159
11-OLW-SAC,17,14,4,159
11-OLW-SBA,14,29,37,155
11-OLW-SIM,6,23,8,149
11-OLW-SJC,17,22,18,156
11-OLW-SLM,42,38,60,157
11-OLW-SLO,14,24,7,156
11-OLW-SNS,10,24,89,156
11-OLW-VAN,108,97,92,157
11-OLW-VNC,30,35,5,154
11-OXN-BUR,52,73,7,146
11-OXN-LAX,49,63,1,154
11-OXN-SIM,115,91,11,148
11-OXN-VNC,60,69,10,153
11-PDX-ALY,42,39,6,160
11-PDX-BUR,27,21,21,148
11-PDX-CIC,25,19,5,160
11-PDX-CMO,35,33,4,160
11-PDX-DAV,12,17,7,160
11-PDX-DUN,16,25,4,160
11-PDX-EMY,18,23,8,160
11-PDX-EUG,44,45,13,159
11-PDX-KFS,32,28,23,160
11-PDX-LAX,27,30,18,155
11-PDX-MTZ,18,19,9,160
11-PDX-OKJ,13,21,9,158
11-PDX-OXN,23,33,15,155
11-PDX-PRB,12,22,9,156
11-PDX-RDD,20,23,5,160
11-PDX-SAC,14,22,11,160
11-PDX-SBA,17,28,21,157
11-PDX-SIM,5,26,22,149
11-PDX-SJC,13,22,20,157
11-PDX-SLM,48,49,11,159
11-PDX-SLO,12,17,35,157
11-PDX-SNS,13,29,7,157
11-PDX-VNC,36,29,24,156
11-PRB-BUR,24,47,4,147
11-PRB-LAX,18,43,8,154
11-PRB-OXN,41,54,44,154
11-PRB-SBA,38,36,34,156
11-PRB-SIM,58,51,4,148
11-PRB-SLO,123,109,2,156
11-PRB-VNC,24,47,3,155
11-RDD-BUR,28,28,7,147
11-RDD-CIC,39,56,59,160
11-RDD-DAV,73,46,41,160
11-RDD-EMY,44,43,36,160
11-RDD-LAX,26,38,3,154
11-RDD-MTZ,47,37,25,160
11-RDD-OKJ,48,43,17,158
11-RDD-OXN,40,40,23,154
11-RDD-PRB,42,46,36,155
11-RDD-SAC,36,39,2,160
11-RDD-SBA,24,20,17,156
11-RDD-SIM,33,36,3,149
11-RDD-SJC,35,34,11,156
11-RDD-SLO,33,32,1,156
11-RDD-SNS,51,54,38,156
11-RDD-VNC,28,36,5,155
11-SAC-BUR,26,33,25,148
11-SAC-DAV,35,42,14,160
11-SAC-EMY,34,38,12,160
11-SAC-LAX,27,29,16,155
11-SAC-MTZ,41,41,16,160
11-SAC-OKJ,37,34,14,158
11-SAC-OXN,32,43,4,155
11-SAC-PRB,31,48,12,156
11-SAC-SBA,36,31,9,157
11-SAC-SIM,34,43,19,149
11-SAC-SJC,38,48,21,157
11-SAC-SLO,31,32,15,157
11-SAC-SNS,32,55,8,157
11-SAC-VNC,21,38,18,156
11-SBA-BUR,37,38,6,148
11-SBA-LAX,34,42,5,155
11-SBA-OXN,44,60,31,155
11-SBA-SIM,43,71,8,149
11-SBA-VNC,34,44,13,156
11-SEA-ALY,41,36,41,160
11-SEA-BUR,8,20,4,148
11-SEA-CIC,23,25,38,160
11-SEA-CMO,42,39,21,160
11-SEA-CTL,137,135,131,159
11-SEA-DAV,17,19,95,160
11-SEA-DUN,21,27,52,160
11-SEA-EMY,21,25,76,160
11-SEA-EUG,35,34,38,159
11-SEA-KEL,80,94,100,159
11-SEA-KFS,31,29,27,160
11-SEA-LAX,47,31,8,155
11-SEA-MTZ,24,18,76,160
11-SEA-OKJ,18,15,36,158
11-SEA-OLW,135,130,124,158
11-SEA-OXN,14,34,71,155
11-SEA-PDX,49,62,15,160
11-SEA-PRB,17,17,89,156
11-SEA-RDD,23,23,41,160
11-SEA-SAC,18,18,9,160
11-SEA-SBA,24,29,44,157
11-SEA-SIM,3,24,4,149
11-SEA-SJC,15,19,20,157
11-SEA-SLM,44,44,47,159
11-SEA-SLO,23,21,6,157
11-SEA-SNS,15,15,100,157
11-SEA-TAC,145,144,140,160
11-SEA-VAN,60,82,88,158
11-SEA-VNC,60,34,2,156
11-SIM-BUR,64,85,38,141
11-SIM-LAX,59,69,6,148
11-SIM-VNC,62,87,41,149
11-SJC-BUR,28,38,22,148
11-SJC-LAX,31,28,7,155
11-SJC-OXN,26,49,25,155
11-SJC-PRB,56,70,26,156
11-SJC-SBA,33,32,23,157
11-SJC-SIM,38,50,39,149
11-SJC-SLO,56,47,19,157
11-SJC-SNS,58,69,28,157
11-SJC-VNC,23,38,30,156
11-SLM-ALY,148,145,137,159
11-SLM-BUR,20,23,5,146
11-SLM-CIC,19,25,32,159
11-SLM-CMO,37,33,46,159
11-SLM-DAV,22,43,50,159
11-SLM-DUN,30,30,48,158
11-SLM-EMY,21,36,39,159
